factors,age,age_standard,open_standard,age_standard_seconds,open_standard_seconds,age_factor
2010,20,13:02.00,12:54.00,782,774,0.99
2010,21,12:57.00,12:54.00,777,774,1.00
2010,22,12:54.30,12:54.00,774.3,774,1.00
2010,23,12:54.00,12:54.00,774,774,1.00
2010,24,12:54.00,12:54.00,774,774,1.00
2010,25,12:54.00,12:54.00,774,774,1.00
2010,26,12:54.00,12:54.00,774,774,1.00
2010,27,12:54.00,12:54.00,774,774,1.00
2010,28,12:54.10,12:54.00,774.1,774,1.00
2010,29,12:54.70,12:54.00,774.7,774,1.00
2010,30,12:55.90,12:54.00,775.9,774,1.00
2010,31,12:57.70,12:54.00,777.7,774,1.00
2010,32,13:00.10,12:54.00,780.1,774,0.99
2010,33,13:03.00,12:54.00,783,774,0.99
2010,34,13:06.60,12:54.00,786.6,774,0.98
2010,35,13:10.80,12:54.00,790.8,774,0.98
2010,36,13:15.60,12:54.00,795.6,774,0.97
2010,37,13:21.10,12:54.00,801.1,774,0.97
2010,38,13:26.90,12:54.00,806.9,774,0.96
2010,39,13:32.90,12:54.00,812.9,774,0.95
2010,40,13:39.00,12:54.00,819,774,0.95
2010,41,13:45.20,12:54.00,825.2,774,0.94
2010,42,13:51.40,12:54.00,831.4,774,0.93
2010,43,13:57.30,12:54.00,837.3,774,0.92
2010,44,14:04.00,12:54.00,844,774,0.92
2010,45,14:10.60,12:54.00,850.6,774,0.91
2010,46,14:17.30,12:54.00,857.3,774,0.90
2010,47,14:24.00,12:54.00,864,774,0.90
2010,48,14:30.80,12:54.00,870.8,774,0.89
2010,49,14:37.80,12:54.00,877.8,774,0.88
2010,50,14:44.90,12:54.00,884.9,774,0.87
